81 PSY 1854 2011: overall = 4.78, workload = 1.78, difficulty = 2.33
82 SCI-LIVSYS 11 2011: overall = 4.31, workload = 1.51, difficulty = 2.32
83 ENGLISH Chcr 2011: overall = 4.67, workload = 1.67, difficulty = 2.42
84 AFRAMER 90r 2011: overall = 4.46, workload = 1.50, difficulty = 2.50
85 LING 101 2011: overall = 3.85, workload = 1.34, difficulty = 2.16
86 MBB 99z 2012: overall = 4.77, workload = 1.85, difficulty = 2.23
87 MUSIC 2 2011: overall = 4.67, workload = 1.73, difficulty = 2.34
88 PORTUG Ab 2011: overall = 4.40, workload = 1.67, difficulty = 2.19
89 NEUROBIO 95hfd 2011: overall = 4.25, workload = 1.50, difficulty = 2.33
90 DRAMA 117 2011: overall = 4.55, workload = 1.55, difficulty = 2.55
91 KOREAN Bxa 2012: overall = 5.00, workload = 1.89, difficulty = 2.44
92 EXPOS 10.008 2011: overall = 4.90, workload = 1.50, difficulty = 3.00
93 ASTRON 100 2011: overall = 4.80, workload = 1.80, difficulty = 2.40
94 E&M-REASON 13 2011: overall = 3.78, workload = 1.28, difficulty = 2.25
95 AFRAMER 90r.g 2011: overall = 4.17, workload = 1.45, difficulty = 2.36
96 GOV 1368 2012: overall = 4.07, workload = 1.53, difficulty = 2.13
97 MUSIC 153 2012: overall = 4.65, workload = 1.73, difficulty = 2.38
98 AFRAMER 90r.g 2012: overall = 4.42, workload = 1.58, difficulty = 2.40
99 OEB 251 2011: overall = 4.92, workload = 1.67, difficulty = 2.75
100 SOC-WORLD 30 2012: overall = 3.98, workload = 1.50, difficulty = 2.10
101 HAA 154g 2011: overall = 3.91, workload = 1.36, difficulty = 2.27
102 ESPP 90s 2011: overall = 4.62, workload = 1.67, difficulty = 2.48
103 MCB 290hfr 2011: overall = 3.97, workload = 1.24, difficulty = 2.55
104 ROM-STD 111 2012: overall = 4.42, workload = 1.50, difficulty = 2.58
105 BCMP 218 2011: overall = 4.23, workload = 1.46, difficulty = 2.46
106 AESTH&INTP 11 2012: overall = 4.36, workload = 1.64, difficulty = 2.29
107 AFRAMER 142 2011: overall = 3.55, workload = 1.31, difficulty = 2.03
108 ANTHRO 1986 2011: overall = 4.75, workload = 1.75, difficulty = 2.50
109 PSY 3555 2012: overall = 2.00, workload = 1.00, difficulty = 1.00
110 PORTUG Aa 2012: overall = 4.48, workload = 1.79, difficulty = 2.21
111 HAA 65 2012: overall = 4.18, workload = 1.53, difficulty = 2.35
112 NEUROBIO 95hfp 2012: overall = 4.80, workload = 1.70, difficulty = 2.70
113 GOV 94ek 2012: overall = 4.93, workload = 1.80, difficulty = 2.67
114 CELLBIO 307qc 2011: overall = 4.14, workload = 1.43, difficulty = 2.50
115 SPANSH 194 2012: overall = 4.41, workload = 1.65, difficulty = 2.41
116 PSY 18 2011: overall = 4.43, workload = 1.69, difficulty = 2.37
117 HISTSCI 108 2011: overall = 3.68, workload = 1.45, difficulty = 2.03
118 WOMGEN 1245 2012: overall = 4.56, workload = 1.81, difficulty = 2.31
119 MATH 99r 2011: overall = 4.67, workload = 1.62, difficulty = 2.75
120 CHEM 301hf 2011: overall = 3.48, workload = 1.62, difficulty = 1.57
121 US-WORLD 32 2012: overall = 4.65, workload = 1.72, difficulty = 2.58
122 E&M-REASON 15 2011: overall = 3.85, workload = 1.32, difficulty = 2.45
123 ECON 2091 2012: overall = 4.45, workload = 1.70, difficulty = 2.42
124 DRAMA 115 2011: overall = 3.94, workload = 1.61, difficulty = 2.06
125 CELTIC 151 2011: overall = 4.73, workload = 1.91, difficulty = 2.36
126 MCB 290hfr 2012: overall = 3.70, workload = 1.29, difficulty = 2.37
127 ENGLISH Crr 2011: overall = 5.00, workload = 1.91, difficulty = 2.64
128 ECON 2770hf 2011: overall = 4.67, workload = 1.50, difficulty = 3.00
129 ECON 2770hf 2011: overall = 5.00, workload = 2.00, difficulty = 2.50
130 MUSIC 187rg 2012: overall = 4.62, workload = 1.81, difficulty = 2.44
131 EXPOS 10.014 2011: overall = 4.56, workload = 1.78, difficulty = 2.44
132 AFRAMER 179 2011: overall = 3.88, workload = 1.51, difficulty = 2.21
133 GHHP 60 2011: overall = 4.40, workload = 1.65, difficulty = 2.50
134 GHHP 60 2012: overall = 4.22, workload = 1.61, difficulty = 2.39
135 MEDVLSTD 107 2011: overall = 4.21, workload = 1.50, difficulty = 2.57
136 SPANSH Ab 2011: overall = 4.30, workload = 1.61, difficulty = 2.48
137 HIST 1167 2011: overall = 3.70, workload = 1.30, difficulty = 2.40
138 AFRAMER 90r.i 2011: overall = 4.40, workload = 1.60, difficulty = 2.60
139 HISTSCI 134 2011: overall = 4.60, workload = 1.80, difficulty = 2.47
140 SWAHILI A 2011: overall = 4.30, workload = 1.59, difficulty = 2.52
141 EXPOS 40 2011: overall = 4.85, workload = 1.89, difficulty = 2.58
142 SPANSH Ab 2012: overall = 4.29, workload = 1.67, difficulty = 2.39
143 LAT-STD 70 2011: overall = 3.95, workload = 1.49, difficulty = 2.35
144 SCI-PHYUNV 26 2012: overall = 4.22, workload = 1.70, difficulty = 2.28
145 ECON 2056a 2012: overall = 4.86, workload = 1.57, difficulty = 3.14
146 SOCIOL 183 2011: overall = 4.26, workload = 1.74, difficulty = 2.26
147 E&M-REASON 16 2012: overall = 3.90, workload = 1.50, difficulty = 2.30
148 SCI-LIVSYS 11 2012: overall = 4.16, workload = 1.57, difficulty = 2.45
149 HSEMR-WI 75 2011: overall = 4.57, workload = 1.79, difficulty = 2.50
150 SPANSH 59 2011: overall = 4.29, workload = 1.82, difficulty = 2.18
151 CULTR&BLF 51 2012: overall = 4.52, workload = 1.78, difficulty = 2.48
152 PSY 980n 2011: overall = 4.23, workload = 1.62, difficulty = 2.46
153 MBB 99z 2011: overall = 4.08, workload = 1.62, difficulty = 2.31
154 E&M-REASON 13 2012: overall = 3.77, workload = 1.40, difficulty = 2.37
155 ANTHRO 1131 2011: overall = 4.09, workload = 1.55, difficulty = 2.45
156 SCRB 162 2011: overall = 4.25, workload = 1.69, difficulty = 2.38
157 CULTR&BLF 34 2011: overall = 4.32, workload = 1.65, difficulty = 2.52
158 SPANSH Aa 2011: overall = 4.46, workload = 1.79, difficulty = 2.43
159 ESPP 90t 2011: overall = 4.44, workload = 1.81, difficulty = 2.38
160 SPANSH 61a 2011: overall = 4.11, workload = 1.44, difficulty = 2.67
161 PORTUG 180 2012: overall = 4.44, workload = 1.78, difficulty = 2.44
162 HEB 1333 2011: overall = 4.54, workload = 1.69, difficulty = 2.69
163 PSY 950 2012: overall = 3.94, workload = 1.56, difficulty = 2.31
164 PSY 950 2011: overall = 4.50, workload = 1.80, difficulty = 2.47
165 E-PSCI 134 2011: overall = 4.85, workload = 1.92, difficulty = 2.62
166 PORTUG Ba 2011: overall = 4.10, workload = 1.76, difficulty = 2.14
167 US-WORLD 32 2011: overall = 4.45, workload = 1.69, difficulty = 2.62
168 PORTUG Aa 2011: overall = 4.32, workload = 1.81, difficulty = 2.29
169 E&M-REASON 16 2011: overall = 3.50, workload = 1.20, difficulty = 2.50
170 OEB 50 2012: overall = 4.73, workload = 2.00, difficulty = 2.40
171 GENETIC 228 2011: overall = 4.22, workload = 1.67, difficulty = 2.44
172 AESTH&INTP 38 2011: overall = 4.13, workload = 1.60, difficulty = 2.47
173 SPANSH 30 2011: overall = 4.27, workload = 1.70, difficulty = 2.45
174 GOV 3001 2011: overall = 2.90, workload = 1.30, difficulty = 1.75
175 ETH-REASON 18 2012: overall = 4.04, workload = 1.58, difficulty = 2.43
176 MOD-HEB 120b 2011: overall = 4.91, workload = 2.09, difficulty = 2.45
177 STAT 104 2011: overall = 4.19, workload = 1.75, difficulty = 2.30
178 FRENCH 61m 2011: overall = 4.38, workload = 1.77, difficulty = 2.46
179 STAT 104 2011: overall = 4.06, workload = 1.65, difficulty = 2.34
180 PSY 1901a 2012: overall = 3.94, workload = 1.62, difficulty = 2.28
181 APMTH 50 2011: overall = 3.37, workload = 1.48, difficulty = 1.95
182 SOC-WORLD 24 2011: overall = 4.09, workload = 1.66, difficulty = 2.37
183 CULTR&BLF 21 2011: overall = 3.85, workload = 1.54, difficulty = 2.33
184 SWAHILI A 2011: overall = 3.95, workload = 1.50, difficulty = 2.50
185 CELTIC 137 2011: overall = 3.88, workload = 1.59, difficulty = 2.29
186 MATH 143 2011: overall = 4.00, workload = 1.59, difficulty = 2.41
187 AFRAMER 117x 2012: overall = 3.50, workload = 1.41, difficulty = 2.21
188 ENGLISH 182a 2011: overall = 4.50, workload = 1.90, difficulty = 2.40
189 OEB 59 2011: overall = 4.03, workload = 1.61, difficulty = 2.42
190 SOC-WORLD 40 2012: overall = 3.60, workload = 1.45, difficulty = 2.26
191 MATH 232br 2011: overall = 4.75, workload = 1.50, difficulty = 3.33
192 FOLKMYTH 114 2012: overall = 4.79, workload = 1.95, difficulty = 2.63
193 ENG-SCI 276 2011: overall = 3.55, workload = 1.64, difficulty = 1.91
194 E-PSCI 181 2011: overall = 4.20, workload = 1.50, difficulty = 2.80
195 STAT 265r 2012: overall = 4.83, workload = 1.92, difficulty = 2.73
