81 SOC-WORLD 40 2012: overall = 3.60, workload = 1.45, difficulty = 2.26
82 HBTM 340 2011: overall = 5.00, workload = 1.50, difficulty = 2.17
83 E&M-REASON 13 2012: overall = 3.77, workload = 1.40, difficulty = 2.37
84 GOV 1368 2012: overall = 4.07, workload = 1.53, difficulty = 2.13
85 CULTR&BLF 22 2012: overall = 3.56, workload = 1.46, difficulty = 2.27
86 ENG-SCI 276 2011: overall = 3.55, workload = 1.64, difficulty = 1.91
87 GHHP 50 2011: overall = 4.76, workload = 1.48, difficulty = 2.24
88 NEUROBIO 95hfd 2011: overall = 4.46, workload = 1.46, difficulty = 2.31
89 AFRAMER 179 2011: overall = 3.88, workload = 1.51, difficulty = 2.21
90 GOV 2034 2012: overall = 4.22, workload = 1.56, difficulty = 2.11
91 CELLBIO 211 2011: overall = 3.08, workload = 1.44, difficulty = 2.36
92 ENG-SCI 190 2011: overall = 3.00, workload = 1.49, difficulty = 2.28
93 MUSIC 159r 2011: overall = 3.50, workload = 1.38, difficulty = 2.50
94 AFRAMER 90r.g 2011: overall = 4.17, workload = 1.45, difficulty = 2.36
95 NEUROBIO 95hfd 2012: overall = 4.45, workload = 1.45, difficulty = 2.36
96 PSY 18 2012: overall = 4.61, workload = 1.48, difficulty = 2.31
97 DRAMA 115 2011: overall = 3.94, workload = 1.61, difficulty = 2.06
98 AESTH&INTP 13 2011: overall = 3.66, workload = 1.53, difficulty = 2.22
99 E&M-REASON 16 2012: overall = 3.90, workload = 1.50, difficulty = 2.30
100 CULTR&BLF 27 2012: overall = 4.45, workload = 1.60, difficulty = 2.10
101 HEB 1500 2011: overall = 4.60, workload = 1.60, difficulty = 2.13
102 NEUROBIO 95hfd 2011: overall = 4.25, workload = 1.50, difficulty = 2.33
103 LAT-STD 70 2011: overall = 3.95, workload = 1.49, difficulty = 2.35
104 NEUROBIO 95hfu 2011: overall = 4.92, workload = 1.58, difficulty = 2.17
105 PSY 1900 2011: overall = 4.40, workload = 1.57, difficulty = 2.20
106 SCI-LIVSYS 11 2011: overall = 4.31, workload = 1.51, difficulty = 2.32
107 CELLBIO 307qc 2011: overall = 4.14, workload = 1.43, difficulty = 2.50
108 SCI-LIVSYS 19 2011: overall = 3.45, workload = 1.53, difficulty = 2.30
109 BCMP 218 2011: overall = 4.23, workload = 1.46, difficulty = 2.46
110 HISTSCI 153 2011: overall = 4.38, workload = 1.69, difficulty = 2.00
111 PORTUG Ac 2011: overall = 4.41, workload = 1.71, difficulty = 1.98
112 SOCIOL 165 2012: overall = 3.60, workload = 1.52, difficulty = 2.36
113 CULTR&BLF 21 2011: overall = 3.85, workload = 1.54, difficulty = 2.33
114 HAA 65 2012: overall = 4.18, workload = 1.53, difficulty = 2.35
115 APPHY 225 2012: overall = 3.00, workload = 1.65, difficulty = 2.12
116 SCI-PHYUNV 25 2011: overall = 3.53, workload = 1.58, difficulty = 2.26
117 PSY 1502 2012: overall = 3.59, workload = 1.59, difficulty = 2.24
118 PSY 950 2012: overall = 3.94, workload = 1.56, difficulty = 2.31
119 PORTUG Ac 2012: overall = 4.61, workload = 1.66, difficulty = 2.13
120 SOCIOL 43 2011: overall = 3.59, workload = 1.58, difficulty = 2.29
121 LING 83 2011: overall = 3.36, workload = 1.42, difficulty = 2.62
122 CELTIC 137 2011: overall = 3.88, workload = 1.59, difficulty = 2.29
123 CULTR&BLF 22 2011: overall = 3.65, workload = 1.54, difficulty = 2.39
124 ANTHRO 1882 2011: overall = 3.83, workload = 1.63, difficulty = 2.23
125 MBB 96 2011: overall = 4.67, workload = 1.58, difficulty = 2.33
126 ESPP 90a 2011: overall = 3.88, workload = 1.56, difficulty = 2.38
127 AFRAMER 90r 2011: overall = 4.46, workload = 1.50, difficulty = 2.50
128 SWAHILI A 2011: overall = 3.95, workload = 1.50, difficulty = 2.50
129 PHIL 312 2011: overall = 5.00, workload = 1.00, difficulty = 3.50
130 CHEMBIO 2200 2011: overall = 3.25, workload = 1.38, difficulty = 2.75
131 APMTH 115 2012: overall = 3.46, workload = 1.46, difficulty = 2.59
132 PSY 1901a 2012: overall = 3.94, workload = 1.62, difficulty = 2.28
133 PORTUG Ab 2011: overall = 4.40, workload = 1.67, difficulty = 2.19
134 SOC-WORLD 38 2011: overall = 3.64, workload = 1.38, difficulty = 2.78
135 SOCIOL 107 2012: overall = 3.06, workload = 1.53, difficulty = 2.48
